,word,number,percent_of_count
0,captain,665,1.2309799711228757
1,spock,351,0.6497352930287661
2,sir,324,0.5997556551034763
3,mister,291,0.5386694309725667
5,ship,267,0.494243086150087
6,one,235,0.43500795972011397
7,kirk,157,0.2906223390470549
8,yes,152,0.28136685054237165
9,get,145,0.26840916663581504
10,time,143,0.2647069712339417
11,planet,137,0.2536003850283218
12,enterprise,135,0.2498981896264485
13,would,134,0.24804709192551183
14,could,132,0.24434489652363853
15,know,124,0.22953611491614528
16,lieutenant,121,0.22398282181333531
17,like,120,0.22213172411239868
18,must,119,0.22028062641146198
19,doctor,115,0.21287623560771538
20,life,110,0.2036207471030321
21,well,107,0.19806745400022213
22,jim,105,0.19436525859834883
23,two,100,0.18510977009366553
24,think,91,0.16844989078523565
25,come,89,0.16474769538336234
26,sulu,87,0.16104549998148904
27,ca,86,0.15919440228055237
28,back,84,0.15549220687867904
29,go,84,0.15549220687867904
30,beam,84,0.15549220687867904
31,take,83,0.1536411091777424
32,right,81,0.14993891377586907
33,aye,79,0.14623671837399577
34,may,79,0.14623671837399577
35,way,78,0.14438562067305913
36,got,78,0.14438562067305913
37,scott,77,0.14253452297212246
38,course,75,0.13883232757024916
39,bone,75,0.13883232757024916
40,something,74,0.13698122986931252
41,power,74,0.13698122986931252
42,going,73,0.13513013216837585
43,let,72,0.1332790344674392
44,see,71,0.13142793676650255
45,want,65,0.1203213505608826
46,much,65,0.1203213505608826
47,minute,64,0.11847025285994595
48,still,64,0.11847025285994595
49,scotty,64,0.11847025285994595
50,vulcan,63,0.11661915515900928
51,find,63,0.11661915515900928
52,three,61,0.11291695975713598
53,thing,61,0.11291695975713598
54,star,61,0.11291695975713598
55,people,61,0.11291695975713598
56,uhura,59,0.10921476435526267
57,long,57,0.10551256895338935
58,work,57,0.10551256895338935
59,phasers,57,0.10551256895338935
60,warp,56,0.10366147125245269
61,mccoy,56,0.10366147125245269
62,good,55,0.10181037355151605
63,believe,55,0.10181037355151605
64,commander,54,0.09995927585057938
65,need,54,0.09995927585057938
66,crew,53,0.09810817814964275
67,human,53,0.09810817814964275
68,help,52,0.09625708044870608
