,word,number,percent_of_count
0,sir,1458,1.833869993962568
1,captain,558,0.7018514791708593
2,would,376,0.4729321795129805
3,one,322,0.405011068625478
4,yes,252,0.3169651841416784
5,doctor,237,0.29809820889514993
6,believe,233,0.29306701549607567
7,commander,228,0.2867780237472329
8,two,211,0.26539545180116725
9,ship,200,0.25155966995371304
10,may,188,0.23646608975649025
11,three,179,0.22514590460857314
12,system,179,0.22514590460857314
13,time,173,0.21759911450996175
14,sensor,173,0.21759911450996175
15,computer,140,0.17609176896759912
16,life,133,0.16728718051921915
17,perhaps,132,0.1660293821694506
18,human,130,0.16351378546991346
19,could,126,0.1584825920708392
21,four,123,0.15470919702153352
22,however,123,0.15470919702153352
23,know,119,0.14967800362245925
24,aye,115,0.144646810223385
25,geordi,111,0.13961561682431073
26,power,110,0.13835781847454215
27,energy,109,0.1371000201247736
28,correct,105,0.13206882672569933
29,must,105,0.13206882672569933
30,enterprise,103,0.1295532300261622
31,field,103,0.1295532300261622
32,data,102,0.12829543167639365
33,planet,101,0.12703763332662507
34,seven,100,0.12577983497685652
35,five,96,0.12074864157778226
36,point,94,0.11823304487824512
37,second,94,0.11823304487824512
38,reading,93,0.11697524652847656
39,hour,92,0.11571744817870798
40,appears,91,0.11445964982893943
41,possible,89,0.11194405312940228
42,warp,85,0.10691285973032803
43,way,83,0.10439726303079089
44,form,83,0.10439726303079089
45,counsellor,82,0.10313946468102234
46,course,81,0.10188166633125378
47,able,80,0.1006238679814852
48,lieutenant,80,0.1006238679814852
49,minute,80,0.1006238679814852
50,level,80,0.1006238679814852
51,vessel,79,0.09936606963171664
52,hundred,77,0.09685047293217952
53,six,76,0.09559267458241094
54,twenty,76,0.09559267458241094
55,find,74,0.09307707788287382
56,wish,73,0.09181927953310524
57,within,73,0.09181927953310524
58,understand,72,0.09056148118333669
59,year,70,0.08804588448379956
60,well,70,0.08804588448379956
61,take,70,0.08804588448379956
62,still,69,0.086788086134031
63,beam,69,0.086788086134031
64,something,69,0.086788086134031
65,see,68,0.08553028778426243
66,log,66,0.0830146910847253
67,first,66,0.0830146910847253
68,appear,66,0.0830146910847253
69,shield,66,0.0830146910847253
70,pattern,65,0.08175689273495673
71,starfleet,64,0.08049909438518817
72,make,64,0.08049909438518817
73,need,63,0.0792412960354196
74,information,63,0.0792412960354196
75,please,63,0.0792412960354196
76,nine,62,0.07798349768565103
77,another,62,0.07798349768565103
78,thank,61,0.07672569933588247
79,percent,60,0.07546790098611392
80,nothing,59,0.07421010263634534
81,effect,59,0.07421010263634534
82,also,58,0.07295230428657677
83,indicate,58,0.07295230428657677
84,signal,56,0.07043670758703964
85,attempt,55,0.06917890923727107
86,probe,55,0.06917890923727107
87,show,54,0.06792111088750252
88,found,54,0.06792111088750252
89,much,53,0.06666331253773396
90,record,52,0.06540551418796538
91,control,52,0.06540551418796538
92,several,51,0.06414771583819683
93,use,51,0.06414771583819683
94,subspace,51,0.06414771583819683
95,might,51,0.06414771583819683
96,like,50,0.06288991748842826
97,yet,50,0.06288991748842826
98,approximately,50,0.06288991748842826
99,say,49,0.06163211913865969
100,day,49,0.06163211913865969
101,picard,48,0.06037432078889113
102,distortion,48,0.06037432078889113
103,thirty,47,0.05911652243912256
104,quite,47,0.05911652243912256
105,federation,47,0.05911652243912256
106,attempting,46,0.05785872408935399
107,scan,46,0.05785872408935399
108,certain,46,0.05785872408935399
109,unable,46,0.05785872408935399
110,present,45,0.05660092573958543
111,transporter,45,0.05660092573958543
112,surface,45,0.05660092573958543
113,since,45,0.05660092573958543
114,many,44,0.055343127389816865
115,experience,44,0.055343127389816865
116,analysis,44,0.055343127389816865
117,engine,43,0.05408532904004829
118,q,43,0.05408532904004829
119,right,43,0.05408532904004829
120,memory,43,0.05408532904004829
121,eight,43,0.05408532904004829
122,never,43,0.05408532904004829
123,back,42,0.052827530690279734
124,area,42,0.052827530690279734
125,range,42,0.052827530690279734
126,core,42,0.052827530690279734
127,made,41,0.05156973234051117
128,new,41,0.05156973234051117
129,come,41,0.05156973234051117
130,thousand,41,0.05156973234051117
131,worf,41,0.05156973234051117
132,access,41,0.05156973234051117
133,lal,41,0.05156973234051117
134,fact,40,0.0503119339907426
135,source,40,0.0503119339907426
136,romulan,40,0.0503119339907426
137,spot,40,0.0503119339907426
138,question,39,0.04905413564097404
139,seem,39,0.04905413564097404
140,command,39,0.04905413564097404
141,moment,39,0.04905413564097404
142,stop,39,0.04905413564097404
143,bridge,38,0.04779633729120547
144,android,38,0.04779633729120547
145,complete,38,0.04779633729120547
146,order,38,0.04779633729120547
147,speed,37,0.04653853894143691
148,mister,37,0.04653853894143691
149,riker,37,0.04653853894143691
150,true,37,0.04653853894143691
151,fifty,37,0.04653853894143691
152,radiation,37,0.04653853894143691
153,borg,37,0.04653853894143691
154,help,36,0.045280740591668346
155,report,36,0.045280740591668346
156,star,36,0.045280740591668346
157,ten,36,0.045280740591668346
158,without,36,0.045280740591668346
159,left,36,0.045280740591668346
160,zero,36,0.045280740591668346
161,suggest,36,0.045280740591668346
162,difficult,35,0.04402294224189978
163,ready,35,0.04402294224189978
164,last,35,0.04402294224189978
165,people,35,0.04402294224189978
166,capable,35,0.04402294224189978
167,place,34,0.042765143892131215
168,require,34,0.042765143892131215
169,shuttle,34,0.042765143892131215
170,begin,34,0.042765143892131215
171,go,33,0.04150734554236265
172,highly,33,0.04150734554236265
173,weapon,33,0.04150734554236265
