,word,number,percent_of_count
0,know,3861,0.46500984577956295
1,one,3013,0.36287870120016136
2,going,2687,0.3236160206189292
3,get,2541,0.3060321207267209
4,would,2434,0.2931452899838011
5,want,2420,0.29145916259687704
6,right,2419,0.29133872492638246
7,like,2397,0.28868909617550176
8,think,2206,0.2656855011110375
9,well,2157,0.2597840552568032
11,time,2094,0.2521964820156449
12,see,1998,0.2406344656481654
13,could,1875,0.22582063217733242
14,go,1844,0.22208706439200052
15,way,1569,0.18896670500599178
16,let,1547,0.18631707625511107
17,take,1508,0.18162000710582255
18,good,1496,0.18017475505988764
19,come,1420,0.17102149210229975
20,back,1401,0.16873317636290278
21,make,1358,0.16355435653163597
22,say,1340,0.16138647846273357
23,tell,1322,0.15921860039383118
24,need,1273,0.15331715453959688
25,ca,1257,0.15139015181168367
26,thing,1233,0.1484996477198138
27,yes,1206,0.1452478306164602
28,look,1204,0.14500695527547108
29,never,1201,0.14464564226398732
30,something,1199,0.14440476692299817
31,oh,1198,0.1442843292525036
32,ship,1183,0.14247776419508493
33,two,1181,0.14223688885409577
34,sure,1063,0.12802524373573568
35,got,1036,0.12477342663238207
36,people,1005,0.12103985884705018
37,station,1003,0.12079898350606103
38,doctor,997,0.12007635748309356
39,captain,966,0.11634278969776166
40,sir,960,0.1156201636747942
41,mean,959,0.11549972600429963
42,find,958,0.11537928833380505
43,commander,951,0.114536224640343
44,day,931,0.11212747123045147
45,maybe,894,0.1076712774221521
46,odo,881,0.10610558770572259
47,much,870,0.10478077333028225
48,really,866,0.10429902264830393
49,quark,848,0.10213114457940155
50,major,846,0.10189026923841239
51,better,836,0.10068589253346662
52,three,831,0.10008370418099373
53,still,830,0.09996326651049915
54,chief,824,0.09924064048753167
55,first,823,0.09912020281703711
56,help,793,0.0955070727021998
57,must,790,0.09514575969071606
58,nothing,787,0.09478444667923233
59,even,773,0.09309831929230825
60,give,758,0.09129175423488958
61,long,756,0.09105087889390044
62,anything,756,0.09105087889390044
63,life,752,0.09056912821192212
64,sisko,745,0.08972606451846009
65,thought,745,0.08972606451846009
66,little,727,0.08755818644955769
67,year,698,0.08406549400521496
68,may,697,0.08394505633472038
69,course,687,0.0827406796297746
70,believe,677,0.08153630292482883
71,man,677,0.08153630292482883
72,starfleet,646,0.07780273513949694
73,said,644,0.07756185979850777
74,work,635,0.07647792076405659
75,sorry,628,0.07563485707059454
76,dax,617,0.07431004269515419
77,wo,613,0.07382829201317588
78,hour,607,0.07310566599020842
79,keep,602,0.07250347763773554
80,talk,599,0.0721421646262518
81,thank,596,0.07178085161476808
82,might,593,0.07141953860328433
83,understand,574,0.06913122286388737
84,federation,570,0.06864947218190906
85,five,567,0.06828815917042533
86,cardassian,563,0.06780640848844702
87,last,561,0.06756553314745786
88,dominion,557,0.06708378246547955
89,friend,551,0.06636115644251209
90,told,551,0.06636115644251209
91,enough,544,0.06551809274905006
92,feel,540,0.06503634206707173
93,someone,539,0.06491590439657716
94,leave,537,0.06467502905558802
95,bajor,529,0.0637115276916314
96,try,528,0.0635910900211368
97,wrong,520,0.06262758865718018
98,new,512,0.06166408729322357
99,away,509,0.061302774281739844
100,another,508,0.06118233661124527
101,ever,508,0.06118233661124527
102,put,503,0.06058014825877238
103,worf,499,0.06009839757679407
104,order,495,0.05961664689481576
105,hope,495,0.05961664689481576
106,minute,488,0.05877358320135372
107,trying,486,0.05853270786036457
108,kira,483,0.05817139484888083
109,klingon,482,0.05805095717838626
110,done,480,0.0578100818373971
111,everything,477,0.05744876882591336
112,computer,472,0.05684658047344049
113,always,471,0.05672614280294591
114,security,471,0.05672614280294591
115,kind,470,0.05660570513245132
116,system,466,0.056123954450473024
117,made,462,0.05564220376849471
118,lot,459,0.05528089075701098
119,hear,459,0.05528089075701098
120,please,452,0.05443782706354894
121,wait,442,0.05323345035860317
122,stop,437,0.052631262006130275
123,home,436,0.052510824335635704
124,every,436,0.052510824335635704
125,mind,435,0.05239038666514113
126,bajoran,431,0.05190863598316281
127,around,428,0.051547322971679084
128,idea,426,0.05130644763068992
129,place,421,0.05070425927821704
130,mister,420,0.05058382160772247
131,remember,413,0.04974075791426043
132,power,406,0.048897694220798385
133,talking,405,0.0487772565503038
134,wanted,402,0.04841594353882007
135,ask,398,0.047934192856841765
136,stay,397,0.04781375518634719
137,guess,396,0.04769331751585261
138,hundred,396,0.04769331751585261
139,wish,393,0.04733200450436888
140,name,391,0.04709112916337972
141,hand,387,0.04660937848140141
142,officer,382,0.04600719012892853
143,left,381,0.045886752458433946
144,fine,381,0.045886752458433946
145,happened,380,0.04576631478793937
146,cardassians,379,0.04564587711744479
147,care,379,0.04564587711744479
148,jake,376,0.04528456410596106
149,matter,375,0.04516412643546649
150,afraid,374,0.04504368876497191
151,ready,371,0.04468237575348818
152,four,370,0.044561938082993593
153,love,370,0.044561938082993593
154,next,365,0.04395974973052071
155,ago,365,0.04395974973052071
156,else,362,0.04359843671903698
157,anyone,360,0.043357561378047825
158,use,359,0.04323712370755325
159,found,359,0.04323712370755325
160,julian,359,0.04323712370755325
161,problem,355,0.04275537302557494
162,exactly,355,0.04275537302557494
163,nine,354,0.04263493535508036
164,brother,354,0.04263493535508036
165,garak,354,0.04263493535508036
166,trek,350,0.042153184673102057
167,weapon,349,0.04203274700260748
168,without,346,0.041671433991123746
169,war,345,0.04155099632062917
170,ferengi,343,0.041310120979640014
171,question,343,0.041310120979640014
172,knew,343,0.041310120979640014
173,used,340,0.04094880796815628
174,heard,338,0.040707932627167126
175,coming,338,0.040707932627167126
176,great,337,0.04058749495667255
177,able,336,0.04046705728617797
178,many,336,0.04046705728617797
179,old,334,0.040226181945188816
180,kill,332,0.03998530660419966
181,bashir,327,0.03938311825172678
182,getting,322,0.038780929899253885
183,yet,320,0.03854005455826474
184,prophet,318,0.038299179217275575
185,father,317,0.038178741546781005
186,quarter,316,0.03805830387628643
187,defiant,315,0.03793786620579184
188,seven,314,0.03781742853529727
189,sound,311,0.03745611552381354
190,word,311,0.03745611552381354
191,came,310,0.03733567785331896
192,twenty,308,0.03709480251232981
193,okay,307,0.03697436484183523
194,week,307,0.03697436484183523
195,nog,307,0.03697436484183523
196,call,304,0.036613051830351497
197,soon,304,0.036613051830351497
198,looking,304,0.036613051830351497
199,night,301,0.03625173881886777
200,woman,300,0.036131301148373186
201,space,299,0.03601086347787861
202,since,296,0.035649550466394876
203,hold,296,0.035649550466394876
204,report,296,0.035649550466394876
205,stand,296,0.035649550466394876
206,benjamin,295,0.035529112795900306
207,point,293,0.035288237454911144
208,jadzia,292,0.03516779978441657
209,start,292,0.03516779978441657
210,ahead,290,0.03492692444342742
211,second,290,0.03492692444342742
212,chance,290,0.03492692444342742
213,already,289,0.03480648677293283
214,dukat,288,0.03468604910243826
215,yeah,288,0.03468604910243826
216,cardassia,288,0.03468604910243826
217,wormhole,287,0.034565611431943685
218,quite,287,0.034565611431943685
219,suppose,285,0.03432473609095453
220,business,285,0.03432473609095453
221,warp,285,0.03432473609095453
222,bad,284,0.03420429842045995
223,command,283,0.034083860749965375
224,glad,283,0.034083860749965375
225,run,281,0.03384298540897622
226,field,280,0.03372254773848164
227,six,280,0.03372254773848164
228,worry,278,0.03348167239749249
229,least,277,0.03336123472699791
230,end,273,0.0328794840450196
231,working,272,0.03275904637452503
232,child,271,0.032638608704030445
233,job,271,0.032638608704030445
234,together,269,0.032397733363041296
235,best,267,0.032156858022052134
236,dead,267,0.032156858022052134
237,sensor,265,0.031915982681062986
238,klingons,265,0.031915982681062986
239,part,263,0.031675107340073824
240,plan,263,0.031675107340073824
241,alone,262,0.031554669669579254
242,quadrant,262,0.031554669669579254
243,true,262,0.031554669669579254
244,die,261,0.031434231999084676
245,rest,261,0.031434231999084676
246,bring,260,0.03131379432859009
247,seen,259,0.031193356658095518
248,moment,255,0.03071160597611721
249,killed,254,0.030591168305622633
250,fire,253,0.030470730635128052
251,set,253,0.030470730635128052
252,mile,253,0.030470730635128052
253,everyone,251,0.0302298552941389
254,perhaps,250,0.030109417623644327
255,far,250,0.030109417623644327
256,bar,250,0.030109417623644327
257,control,247,0.029748104612160594
258,rom,247,0.029748104612160594
259,show,246,0.029627666941666013
260,excuse,246,0.029627666941666013
261,room,245,0.029507229271171435
262,eye,245,0.029507229271171435
263,ah,244,0.02938679160067686
264,side,244,0.02938679160067686
265,listen,244,0.02938679160067686
266,gone,243,0.029266353930182284
267,actually,243,0.029266353930182284
268,son,240,0.02890504091869855
269,open,239,0.028784603248203977
270,either,239,0.028784603248203977
271,month,239,0.028784603248203977
272,star,238,0.028664165577709396
273,family,237,0.02854372790721482
274,turn,235,0.02830285256622566
275,saying,235,0.02830285256622566
276,present,233,0.028061977225236512
277,lost,232,0.027941539554741934
278,nagus,231,0.027821101884247353
279,waiting,230,0.027700664213752776
280,happy,229,0.0275802265432582
281,whatever,229,0.0275802265432582
282,seems,228,0.027459788872763624
283,reason,228,0.027459788872763624
284,entire,226,0.02721891353177447
285,runabout,225,0.02709847586127989
286,nerys,225,0.02709847586127989
287,change,224,0.02697803819078531
288,truth,223,0.026857600520290736
289,live,222,0.02673716284979616
290,morning,222,0.02673716284979616
291,took,221,0.026616725179301585
292,nice,221,0.026616725179301585
293,game,221,0.026616725179301585
294,ten,221,0.026616725179301585
295,telling,220,0.026496287508807004
296,attack,220,0.026496287508807004
297,death,220,0.026496287508807004
298,along,219,0.026375849838312426
299,tomorrow,218,0.026255412167817852
300,move,215,0.02589409915633412
301,human,214,0.025773661485839542
302,meet,213,0.02565322381534496
303,shield,212,0.025532786144850387
304,answer,212,0.025532786144850387
305,trouble,212,0.025532786144850387
306,changeling,212,0.025532786144850387
307,easy,211,0.02541234847435581
308,probably,210,0.025291910803861235
309,level,210,0.025291910803861235
310,lieutenant,210,0.025291910803861235
311,happen,209,0.025171473133366654
312,send,209,0.025171473133366654
313,thinking,208,0.025051035462872077
314,story,208,0.025051035462872077
315,fact,207,0.024930597792377503
316,purpose,207,0.024930597792377503
317,trust,207,0.024930597792377503
318,saw,206,0.024810160121882918
319,site,205,0.024689722451388344
320,head,204,0.02456928478089377
321,case,204,0.02456928478089377
322,supposed,203,0.024448847110399193
323,fight,203,0.024448847110399193
324,constable,202,0.024328409439904615
325,return,202,0.024328409439904615
326,mother,200,0.02408753409891546
327,planet,200,0.02408753409891546
328,eight,200,0.02408753409891546
329,face,200,0.02408753409891546
330,latinum,200,0.02408753409891546
331,mine,199,0.023967096428420882
332,welcome,198,0.023846658757926305
333,thanks,197,0.023726221087431727
334,thirty,197,0.023726221087431727
335,hard,196,0.02360578341693715
336,feeling,195,0.023485345746442572
337,today,194,0.023364908075947995
338,rule,194,0.023364908075947995
339,beam,192,0.02312403273495884
340,dad,192,0.02312403273495884
341,mission,192,0.02312403273495884
342,medical,191,0.023003595064464265
343,forget,191,0.023003595064464265
344,founder,190,0.022883157393969684
345,backto,189,0.02276271972347511
346,close,187,0.022521844382485955
347,almost,186,0.022401406711991378
348,thousand,186,0.022401406711991378
349,entertainment,186,0.022401406711991378
350,hey,185,0.022280969041496797
351,page,185,0.022280969041496797
352,curzon,185,0.022280969041496797
353,play,185,0.022280969041496797
354,seem,184,0.022160531371002223
