,word,number,percent_of_count
1,get,560,0.4285539365740174
2,mister,525,0.40176931553814127
3,one,480,0.36733194563487204
4,ship,479,0.3665666707481327
5,know,443,0.33901677482551734
6,tuvok,409,0.3129974286763806
7,want,387,0.2961613811681156
8,let,383,0.29310028162115837
9,going,371,0.2839169829802865
10,janeway,350,0.26784621035876083
11,take,348,0.2663156605852822
12,doctor,346,0.2647851108118036
13,time,344,0.26325456103832495
14,like,339,0.25942818660462835
15,way,338,0.2586629117178891
16,back,327,0.2502448879637566
17,go,324,0.24794906330353864
18,would,313,0.23953103954940613
19,could,310,0.23723521488918817
20,right,305,0.23340884045549162
21,think,293,0.22422554181461982
22,well,288,0.22039916738092322
23,voyager,266,0.20356311987265824
24,find,261,0.19973674543896167
25,need,261,0.19973674543896167
26,chakotay,251,0.1920839965715685
27,see,247,0.18902289702461125
28,crew,247,0.18902289702461125
29,seven,244,0.1867270723643933
30,make,243,0.18596179747765396
31,paris,241,0.18443124770417535
32,good,241,0.18443124770417535
33,tell,236,0.18060487327047875
34,captain,232,0.17754377372352148
35,bridge,224,0.17142157462960694
36,help,223,0.17065629974286764
37,q,221,0.169125749969389
38,course,218,0.16682992530917107
39,come,217,0.16606465042243174
40,ca,211,0.16147300110199583
41,maybe,205,0.15688135178155993
42,tom,204,0.1561160768948206
43,got,198,0.15152442757438472
44,commander,197,0.15075915268764542
45,report,195,0.14922860291416676
46,might,193,0.14769805314068812
47,give,192,0.14693277825394882
48,try,190,0.14540222848047019
49,keep,185,0.14157585404677359
50,kim,181,0.13851475449981634
51,long,178,0.13621892983959838
52,people,178,0.13621892983959838
53,neelix,178,0.13621892983959838
54,two,177,0.13545365495285908
55,first,172,0.13162728051916248
56,something,169,0.12933145585894454
57,harry,168,0.12856618097220524
58,lieutenant,161,0.12320925676503
59,oh,160,0.12244398187829068
60,look,149,0.1140259581241582
61,may,144,0.11019958369046161
62,sure,143,0.10943430880372229
63,say,143,0.10943430880372229
64,life,140,0.10713848414350435
65,year,139,0.10637320925676504
66,still,138,0.10560793437002572
67,warp,136,0.10407738459654708
68,borg,136,0.10407738459654708
69,power,135,0.10331210970980775
70,shield,132,0.10101628504958982
71,system,131,0.1002510101628505
72,beam,131,0.1002510101628505
73,yes,130,0.09948573527611118
74,away,128,0.09795518550263255
75,little,126,0.09642463572915391
76,day,123,0.09412881106893596
77,wo,123,0.09412881106893596
78,work,123,0.09412881106893596
79,weapon,122,0.09336353618219664
80,thing,121,0.09259826129545733
81,anything,120,0.09183298640871801
82,copyright,119,0.09106771152197869
83,ready,118,0.09030243663523937
84,trying,118,0.09030243663523937
85,fire,117,0.08953716174850006
86,ensign,115,0.08800661197502142
87,another,113,0.08647606220154279
88,home,113,0.08647606220154279
89,scan,113,0.08647606220154279
90,ahead,112,0.08571078731480347
91,never,110,0.08418023754132485
92,screen,110,0.08418023754132485
93,stand,110,0.08418023754132485
94,computer,109,0.08341496265458553
95,much,108,0.08264968776784622
96,team,107,0.08188441288110689
97,enough,106,0.08111913799436758
98,starfleet,103,0.07882331333414963
99,mean,103,0.07882331333414963
100,understand,102,0.0780580384474103
101,set,101,0.077292763560671
102,sensor,100,0.07652748867393168
103,kes,100,0.07652748867393168
104,made,98,0.07499693890045304
105,believe,97,0.07423166401371373
106,thank,97,0.07423166401371373
107,vessel,97,0.07423166401371373
108,sickbay,94,0.07193583935349578
109,engineering,94,0.07193583935349578
110,alert,92,0.07040528958001714
111,order,91,0.06964001469327782
112,kind,90,0.0688747398065385
113,three,90,0.0688747398065385
114,thought,90,0.0688747398065385
115,sorry,90,0.0688747398065385
116,better,89,0.06810946491979919
117,open,89,0.06810946491979919
118,hour,89,0.06810946491979919
119,officer,88,0.06734419003305989
120,happened,88,0.06734419003305989
121,full,87,0.06657891514632056
122,transporter,87,0.06657891514632056
123,planet,86,0.06581364025958124
124,able,85,0.06504836537284192
125,idea,85,0.06504836537284192
126,torres,84,0.06428309048610262
127,room,83,0.0635178155993633
128,use,83,0.0635178155993633
129,last,82,0.06275254071262397
130,put,80,0.06122199093914534
131,minute,80,0.06122199093914534
132,even,80,0.06122199093914534
133,mind,80,0.06122199093914534
134,leave,78,0.059691441165666714
135,technology,78,0.059691441165666714
136,every,78,0.059691441165666714
137,stop,78,0.059691441165666714
138,hand,78,0.059691441165666714
139,send,77,0.05892616627892739
140,please,77,0.05892616627892739
141,quadrant,77,0.05892616627892739
142,hope,77,0.05892616627892739
143,must,76,0.05816089139218807
144,part,76,0.05816089139218807
145,space,75,0.057395616505448756
146,alien,75,0.057395616505448756
147,chance,74,0.056630341618709445
148,run,74,0.056630341618709445
149,field,73,0.05586506673197013
150,friend,73,0.05586506673197013
151,new,73,0.05586506673197013
152,lock,72,0.055099791845230804
153,call,72,0.055099791845230804
154,hear,69,0.05280396718501286
155,said,69,0.05280396718501286
156,feel,69,0.05280396718501286
157,stay,69,0.05280396718501286
158,shuttle,69,0.05280396718501286
159,kathryn,68,0.05203869229827354
160,without,68,0.05203869229827354
161,nine,68,0.05203869229827354
162,ago,67,0.05127341741153422
163,hail,67,0.05127341741153422
164,delta,67,0.05127341741153422
165,four,67,0.05127341741153422
166,prepare,67,0.05127341741153422
167,getting,66,0.05050814252479491
168,problem,65,0.04974286763805559
169,around,65,0.04974286763805559
170,hold,65,0.04974286763805559
171,exactly,65,0.04974286763805559
172,return,65,0.04974286763805559
173,question,65,0.04974286763805559
174,soon,64,0.04897759275131627
175,status,64,0.04897759275131627
176,log,64,0.04897759275131627
177,range,64,0.04897759275131627
178,mission,63,0.048212317864576956
179,red,63,0.048212317864576956
180,control,63,0.048212317864576956
181,security,62,0.04744704297783764
182,transport,62,0.04744704297783764
183,nothing,62,0.04744704297783764
184,aboard,61,0.04668176809109832
185,start,61,0.04668176809109832
186,everything,61,0.04668176809109832
187,deck,60,0.045916493204359005
188,looking,60,0.045916493204359005
189,clear,60,0.045916493204359005
190,told,59,0.04515121831761969
191,matter,59,0.04515121831761969
192,really,59,0.04515121831761969
193,federation,59,0.04515121831761969
194,far,59,0.04515121831761969
195,found,59,0.04515121831761969
196,six,58,0.04438594343088037
197,hundred,58,0.04438594343088037
198,member,58,0.04438594343088037
199,bring,58,0.04438594343088037
200,place,58,0.04438594343088037
201,starship,57,0.04362066854414106
202,left,57,0.04362066854414106
203,point,57,0.04362066854414106
204,yet,56,0.042855393657401736
205,impulse,56,0.042855393657401736
206,sound,56,0.042855393657401736
207,core,55,0.042090118770662426
208,possible,55,0.042090118770662426
209,seems,54,0.04132484388392311
210,someone,54,0.04132484388392311
211,present,54,0.04132484388392311
212,star,54,0.04132484388392311
213,talk,53,0.04055956899718379
214,command,53,0.04055956899718379
215,emergency,53,0.04055956899718379
216,sign,53,0.04055956899718379
217,done,52,0.039794294110444474
218,end,52,0.039794294110444474
219,five,52,0.039794294110444474
220,wrong,52,0.039794294110444474
221,contact,51,0.03902901922370515
222,target,51,0.03902901922370515
223,anyone,50,0.03826374433696584
224,station,50,0.03826374433696584
225,wait,50,0.03826374433696584
226,specie,50,0.03826374433696584
227,message,50,0.03826374433696584
228,least,50,0.03826374433696584
229,second,50,0.03826374433696584
230,change,50,0.03826374433696584
231,earth,50,0.03826374433696584
232,willing,49,0.03749846945022652
233,channel,49,0.03749846945022652
234,attack,49,0.03749846945022652
235,afraid,49,0.03749846945022652
236,together,48,0.036733194563487205
237,meet,48,0.036733194563487205
