,word,number,percent_of_count
0,mister,1245,1.2015750767270832
1,spock,1108,1.0693535622599262
2,kirk,483,0.4661532225374949
4,get,410,0.395699422857915
5,ship,401,0.3870133379659119
6,yes,398,0.38411797633524425
7,one,380,0.3667458065512383
8,right,356,0.34358291350589687
9,know,348,0.33586194915744977
10,enterprise,338,0.3262107437218909
11,doctor,327,0.3155944177427761
12,captain,325,0.31366417665566426
13,want,311,0.3001524890458818
14,scotty,310,0.29918736850232597
15,bone,283,0.2731291138263169
16,like,263,0.2538267029551991
17,let,263,0.2538267029551991
18,lieutenant,262,0.25286158241164325
19,take,252,0.24321037697608433
20,go,251,0.24224525643252842
21,well,245,0.23645453317119308
22,come,235,0.2268033277356342
23,sulu,230,0.22197772501785473
24,time,225,0.2171521223000753
25,would,225,0.2171521223000753
26,back,224,0.2161870017565194
27,think,217,0.20943115795162814
28,could,216,0.2084660374080723
29,planet,211,0.2036404346902928
30,way,195,0.18819850599339857
31,mccoy,191,0.18433802381917502
32,see,189,0.18240778273206323
33,make,188,0.18144266218850735
34,must,188,0.18144266218850735
35,going,187,0.18047754164495147
36,good,182,0.175651938927172
37,ca,180,0.17372169784006022
38,thing,175,0.16889609512228076
39,find,173,0.166965854035169
40,order,173,0.166965854035169
41,got,163,0.15731464859961009
42,something,159,0.15345416642538653
43,course,158,0.15248904588183063
44,beam,157,0.15152392533827475
45,report,154,0.14862856370760708
46,life,152,0.14669832262049531
47,two,150,0.14476808153338352
48,power,147,0.14187271990271585
49,chekov,146,0.14090759935915995
50,need,142,0.1370471171849364
51,tell,139,0.13415175555426873
52,people,137,0.13222151446715694
53,aboard,130,0.12546567066226572
54,may,125,0.12064006794448626
55,happened,123,0.11870982685737448
56,stand,121,0.11677958577026272
57,scott,120,0.11581446522670681
58,man,119,0.11484934468315093
59,help,118,0.11388422413959502
60,thank,117,0.11291910359603914
61,look,116,0.11195398305248326
62,copyright,113,0.10905862142181558
63,room,112,0.1080935008782597
64,mind,112,0.1080935008782597
65,bridge,110,0.10616325979114791
66,command,109,0.10519813924759203
67,keep,108,0.10423301870403615
68,transporter,106,0.10230277761692436
69,put,104,0.10037253652981258
70,try,102,0.09844229544270079
71,kill,101,0.09747717489914491
72,control,101,0.09747717489914491
73,anything,100,0.09651205435558902
74,give,99,0.09554693381203312
75,trek,98,0.09458181326847723
76,nothing,97,0.09361669272492133
77,warp,97,0.09361669272492133
78,first,97,0.09361669272492133
79,mean,97,0.09361669272492133
80,computer,97,0.09361669272492133
81,year,96,0.09265157218136545
82,say,95,0.09168645163780957
83,understand,92,0.08879109000714189
84,men,92,0.08879109000714189
85,four,91,0.087825969463586
86,long,90,0.08686084892003011
87,gentleman,90,0.08686084892003011
88,crew,90,0.08686084892003011
89,three,89,0.08589572837647422
90,star,87,0.08396548728936244
91,human,86,0.08300036674580655
92,security,86,0.08300036674580655
93,never,86,0.08300036674580655
94,said,85,0.08203524620225067
95,still,84,0.08107012565869477
96,contact,84,0.08107012565869477
97,alert,84,0.08107012565869477
98,uhura,83,0.08010500511513888
99,phasers,83,0.08010500511513888
100,another,81,0.0781747640280271
101,present,80,0.07720964348447121
102,talk,79,0.07624452294091531
103,wo,79,0.07624452294091531
104,much,77,0.07431428185380354
105,full,77,0.07431428185380354
106,answer,76,0.07334916131024766
107,dead,75,0.07238404076669176
108,better,74,0.07141892022313587
109,log,74,0.07141892022313587
110,purpose,73,0.07045379967957997
111,fire,73,0.07045379967957997
112,officer,73,0.07045379967957997
113,minute,72,0.06948867913602409
114,orbit,72,0.06948867913602409
115,stay,71,0.0685235585924682
116,ahead,70,0.0675584380489123
117,work,70,0.0675584380489123
118,might,70,0.0675584380489123
119,without,70,0.0675584380489123
120,federation,70,0.0675584380489123
121,even,69,0.06659331750535641
122,earth,69,0.06659331750535641
123,use,68,0.06562819696180053
124,party,67,0.06466307641824465
125,ready,67,0.06466307641824465
126,woman,66,0.06369795587468875
127,vessel,66,0.06369795587468875
128,reading,66,0.06369795587468875
129,starfleet,66,0.06369795587468875
130,enough,65,0.06273283533113286
131,prepare,65,0.06273283533113286
132,believe,64,0.06176771478757696
133,explain,63,0.06080259424402108
134,die,63,0.06080259424402108
135,stop,62,0.05983747370046519
136,remember,62,0.05983747370046519
137,left,62,0.05983747370046519
138,weapon,62,0.05983747370046519
139,hear,61,0.0588723531569093
140,oh,61,0.0588723531569093
141,phaser,60,0.057907232613353406
142,friend,60,0.057907232613353406
143,call,60,0.057907232613353406
144,space,60,0.057907232613353406
145,little,60,0.057907232613353406
146,starship,59,0.05694211206979751
147,place,59,0.05694211206979751
148,leave,59,0.05694211206979751
149,creature,59,0.05694211206979751
150,question,58,0.05597699152624163
151,done,58,0.05597699152624163
152,hour,58,0.05597699152624163
153,destroy,58,0.05597699152624163
154,system,58,0.05597699152624163
155,maybe,57,0.055011870982685736
156,hundred,57,0.055011870982685736
157,last,56,0.05404675043912985
158,chance,55,0.053081629895573954
159,mark,54,0.05211650935201807
160,sir,54,0.05211650935201807
161,kind,54,0.05211650935201807
162,sure,54,0.05211650935201807
163,body,53,0.05115138880846218
164,check,53,0.05115138880846218
165,quarter,53,0.05115138880846218
166,entertainment,53,0.05115138880846218
167,property,53,0.05115138880846218
168,problem,52,0.05018626826490629
169,everything,52,0.05018626826490629
170,bring,52,0.05018626826490629
171,hold,52,0.05018626826490629
172,sickbay,52,0.05018626826490629
173,immediately,52,0.05018626826490629
174,five,51,0.049221147721350396
175,red,51,0.049221147721350396
176,deck,51,0.049221147721350396
177,station,51,0.049221147721350396
178,around,51,0.049221147721350396
179,point,50,0.04825602717779451
180,hand,50,0.04825602717779451
181,engineering,50,0.04825602717779451
182,made,50,0.04825602717779451
183,continue,49,0.047290906634238614
184,episode,49,0.047290906634238614
185,listingstar,49,0.047290906634238614
186,studio,49,0.047290906634238614
187,inc,49,0.047290906634238614
188,web,49,0.047290906634238614
189,page,49,0.047290906634238614
190,site,49,0.047290906634238614
191,educational,49,0.047290906634238614
192,respective,49,0.047290906634238614
193,holder,49,0.047290906634238614
194,yet,49,0.047290906634238614
195,set,48,0.046325786090682726
196,factor,48,0.046325786090682726
197,possible,48,0.046325786090682726
198,speed,48,0.046325786090682726
199,attack,48,0.046325786090682726
200,mission,47,0.04536066554712684
201,move,47,0.04536066554712684
202,feel,47,0.04536066554712684
203,destroyed,47,0.04536066554712684
204,moment,47,0.04536066554712684
205,change,47,0.04536066554712684
206,seem,47,0.04536066554712684
207,alien,46,0.044395545003570944
208,matter,46,0.044395545003570944
209,exactly,46,0.044395545003570944
210,sensor,46,0.044395545003570944
211,wrong,45,0.043430424460015056
212,child,45,0.043430424460015056
213,every,45,0.043430424460015056
214,fight,45,0.043430424460015056
215,killed,44,0.04246530391645916
216,cut,44,0.04246530391645916
217,afraid,44,0.04246530391645916
218,word,44,0.04246530391645916
219,seven,44,0.04246530391645916
220,day,43,0.041500183372903274
221,search,43,0.041500183372903274
222,trying,43,0.041500183372903274
223,alive,43,0.041500183372903274
224,energise,43,0.041500183372903274
225,force,43,0.041500183372903274
226,whatever,42,0.040535062829347386
227,ago,42,0.040535062829347386
228,hope,42,0.040535062829347386
229,galaxy,42,0.040535062829347386
230,war,42,0.040535062829347386
231,klingons,42,0.040535062829347386
232,condition,41,0.0395699422857915
233,able,41,0.0395699422857915
234,colony,41,0.0395699422857915
235,many,41,0.0395699422857915
236,ever,41,0.0395699422857915
237,death,41,0.0395699422857915
238,maintain,41,0.0395699422857915
239,heard,40,0.038604821742235604
240,commander,40,0.038604821742235604
241,next,40,0.038604821742235604
242,perhaps,40,0.038604821742235604
243,else,40,0.038604821742235604
244,open,40,0.038604821742235604
245,turn,40,0.038604821742235604
246,rest,40,0.038604821742235604
247,communication,40,0.038604821742235604
248,please,40,0.038604821742235604
249,vulcan,40,0.038604821742235604
250,lock,39,0.037639701198679716
251,ask,39,0.037639701198679716
252,form,39,0.037639701198679716
253,medical,39,0.037639701198679716
254,charlie,39,0.037639701198679716
255,since,39,0.037639701198679716
256,away,39,0.037639701198679716
257,screen,39,0.037639701198679716
258,start,39,0.037639701198679716
259,thousand,39,0.037639701198679716
260,seen,39,0.037639701198679716
261,stardate,39,0.037639701198679716
262,quite,38,0.03667458065512383
263,twenty,38,0.03667458065512383
264,show,38,0.03667458065512383
265,necessary,38,0.03667458065512383
266,fact,38,0.03667458065512383
267,came,38,0.03667458065512383
268,engine,38,0.03667458065512383
269,others,38,0.03667458065512383
270,old,37,0.035709460111567934
271,surface,37,0.035709460111567934
272,yeoman,37,0.035709460111567934
273,sorry,37,0.035709460111567934
274,care,37,0.035709460111567934
275,clear,37,0.035709460111567934
276,james,37,0.035709460111567934
277,professor,36,0.034744339568012046
278,love,36,0.034744339568012046
279,alone,36,0.034744339568012046
280,er,36,0.034744339568012046
281,gone,36,0.034744339568012046
282,getting,36,0.034744339568012046
283,soon,36,0.034744339568012046
284,return,36,0.034744339568012046
285,duty,35,0.03377921902445615
286,landing,35,0.03377921902445615
287,record,35,0.03377921902445615
288,trouble,35,0.03377921902445615
289,device,35,0.03377921902445615
290,light,35,0.03377921902445615
291,impossible,35,0.03377921902445615
292,world,35,0.03377921902445615
293,universe,34,0.032814098480900264
294,taken,34,0.032814098480900264
295,wait,34,0.032814098480900264
296,hurt,34,0.032814098480900264
297,far,34,0.032814098480900264
298,six,34,0.032814098480900264
299,read,34,0.032814098480900264
300,seems,34,0.032814098480900264
301,related,34,0.032814098480900264
302,trademark,34,0.032814098480900264
303,learn,33,0.031848977937344376
304,meet,33,0.031848977937344376
305,run,33,0.031848977937344376
306,listen,33,0.031848977937344376
307,found,33,0.031848977937344376
308,name,33,0.031848977937344376
309,someone,33,0.031848977937344376
310,aware,32,0.03088385739378848
311,complete,32,0.03088385739378848
312,analysis,32,0.03088385739378848
313,history,32,0.03088385739378848
314,area,32,0.03088385739378848
315,position,32,0.03088385739378848
316,told,32,0.03088385739378848
317,sound,32,0.03088385739378848
318,status,32,0.03088385739378848
319,starbase,32,0.03088385739378848
320,klingon,32,0.03088385739378848
321,beaming,31,0.029918736850232594
322,saw,31,0.029918736850232594
323,whole,31,0.029918736850232594
324,best,31,0.029918736850232594
325,eight,31,0.029918736850232594
326,took,31,0.029918736850232594
327,game,31,0.029918736850232594
328,wanted,31,0.029918736850232594
329,field,31,0.029918736850232594
330,wish,31,0.029918736850232594
331,ambassador,31,0.029918736850232594
332,great,30,0.028953616306676703
333,personnel,30,0.028953616306676703
334,lost,30,0.028953616306676703
335,crewman,30,0.028953616306676703
336,thought,30,0.028953616306676703
337,board,30,0.028953616306676703
338,bank,30,0.028953616306676703
339,really,30,0.028953616306676703
340,mine,29,0.027988495763120815
341,probe,29,0.027988495763120815
342,choice,29,0.027988495763120815
343,idea,29,0.027988495763120815
344,within,29,0.027988495763120815
345,emergency,29,0.027988495763120815
346,guard,29,0.027988495763120815
347,source,29,0.027988495763120815
348,lot,29,0.027988495763120815
349,new,28,0.027023375219564924
350,live,28,0.027023375219564924
351,reason,28,0.027023375219564924
352,energy,28,0.027023375219564924
353,damage,28,0.027023375219564924
354,almost,28,0.027023375219564924
355,least,28,0.027023375219564924
356,risk,28,0.027023375219564924
357,part,28,0.027023375219564924
358,side,28,0.027023375219564924
359,save,27,0.026058254676009036
360,action,27,0.026058254676009036
361,machine,27,0.026058254676009036
362,effect,27,0.026058254676009036
363,transport,26,0.025093134132453145
364,danger,26,0.025093134132453145
365,tape,26,0.025093134132453145
366,follow,26,0.025093134132453145
367,speak,26,0.025093134132453145
368,message,26,0.025093134132453145
369,range,26,0.025093134132453145
370,signal,26,0.025093134132453145
371,unit,26,0.025093134132453145
372,also,26,0.025093134132453145
373,memory,26,0.025093134132453145
374,battle,26,0.025093134132453145
375,landru,26,0.025093134132453145
376,nomad,26,0.025093134132453145
377,crater,25,0.024128013588897254
378,job,25,0.024128013588897254
379,charge,25,0.024128013588897254
380,science,25,0.024128013588897254
381,circuit,25,0.024128013588897254
382,apparently,25,0.024128013588897254
383,happen,25,0.024128013588897254
384,information,25,0.024128013588897254
385,home,25,0.024128013588897254
386,knew,25,0.024128013588897254
387,ensign,25,0.024128013588897254
388,along,24,0.023162893045341363
389,killing,24,0.023162893045341363
390,play,24,0.023162893045341363
391,probably,24,0.023162893045341363
392,longer,24,0.023162893045341363
393,second,24,0.023162893045341363
394,beautiful,24,0.023162893045341363
395,decision,24,0.023162893045341363
396,harry,24,0.023162893045341363
397,certainly,24,0.023162893045341363
398,already,24,0.023162893045341363
399,head,24,0.023162893045341363
400,bad,23,0.022197772501785472
401,girl,23,0.022197772501785472
402,hard,23,0.022197772501785472
403,section,23,0.022197772501785472
404,miss,23,0.022197772501785472
405,used,23,0.022197772501785472
406,waiting,23,0.022197772501785472
407,channel,23,0.022197772501785472
408,shuttlecraft,23,0.022197772501785472
409,knowledge,23,0.022197772501785472
410,cochrane,23,0.022197772501785472
411,deal,22,0.02123265195822958
412,taking,22,0.02123265195822958
413,gave,22,0.02123265195822958
414,general,22,0.02123265195822958
415,guess,22,0.02123265195822958
416,hit,22,0.02123265195822958
417,fast,22,0.02123265195822958
418,coming,22,0.02123265195822958
419,together,22,0.02123265195822958
420,end,22,0.02123265195822958
421,unless,22,0.02123265195822958
422,case,22,0.02123265195822958
423,intend,22,0.02123265195822958
424,communicator,22,0.02123265195822958
425,late,22,0.02123265195822958
426,reverse,22,0.02123265195822958
427,century,22,0.02123265195822958
428,given,22,0.02123265195822958
429,murder,22,0.02123265195822958
430,commissioner,22,0.02123265195822958
431,trelane,22,0.02123265195822958
432,shield,22,0.02123265195822958
433,ten,21,0.020267531414673693
434,beamed,21,0.020267531414673693
435,stun,21,0.020267531414673693
436,assume,21,0.020267531414673693
437,chief,21,0.020267531414673693
438,begin,21,0.020267531414673693
439,million,21,0.020267531414673693
440,survive,21,0.020267531414673693
441,double,21,0.020267531414673693
