,word,number,percent_of_count
0,sir,4373,0.5560323727057148
1,captain,4051,0.5150896734120399
2,one,3034,0.3857768622888495
3,know,2683,0.341146777033943
4,would,2617,0.3327547951911401
6,data,2206,0.28049563553368556
7,yes,2111,0.26841626772965105
8,commander,1813,0.2305251981969954
9,ship,1809,0.23001659323682555
10,like,1800,0.22887223207644333
11,well,1790,0.22760071967601864
12,time,1781,0.22645635851563642
13,mister,1691,0.21501274691181427
14,could,1678,0.2133597807912622
15,right,1579,0.2007718080270578
16,see,1515,0.19263412866433982
17,think,1514,0.19250697742429734
18,want,1481,0.18831098650289585
19,get,1459,0.18551365922196156
20,going,1370,0.17419719885818186
21,doctor,1299,0.1651694608151666
22,go,1295,0.16466085585499673
23,way,1261,0.1603377136935528
24,two,1237,0.15728608393253354
25,take,1213,0.1542344541715143
26,come,1172,0.1490212533297731
27,enterprise,1095,0.13923060784650304
28,let,1087,0.13821339792616327
29,worf,1077,0.13694188552573858
30,need,1046,0.13300019708442207
31,something,1038,0.1319829871640823
32,picard,1035,0.13160153344395492
33,must,1024,0.13020286980348775
34,make,1016,0.129185659883148
35,three,1008,0.12816844996280827
36,may,1002,0.12740554252255346
37,good,993,0.12626118136217124
38,back,935,0.11888640943970806
39,ca,927,0.1178691995193683
40,life,918,0.11672483835898609
41,course,892,0.11341890611788193
42,tell,824,0.10477262179499405
43,computer,822,0.10451831931490912
44,find,819,0.1041368655947817
45,look,813,0.10337395815452691
46,lieutenant,809,0.10286535319435704
47,still,795,0.10108523583376247
48,say,786,0.09994087467338024
49,believe,785,0.09981372343333779
50,system,784,0.09968657219329531
51,riker,776,0.09866936227295557
52,never,769,0.0977793035926583
53,people,749,0.09523627879180892
54,help,737,0.0937104639112993
55,thank,730,0.092820405231002
56,got,705,0.0896416242299403
57,thing,705,0.0896416242299403
58,first,705,0.0896416242299403
59,power,703,0.08938732174985536
60,aye,697,0.08862441430960055
61,much,683,0.086844296949006
62,q,672,0.08544563330853884
63,sure,666,0.08468272586828403
64,please,659,0.08379266718798675
65,year,656,0.08341121346785935
66,oh,653,0.08302975974773194
67,bridge,642,0.0816310961072648
68,nothing,641,0.08150394486722232
69,four,640,0.08137679362717984
70,understand,636,0.08086818866700998
71,warp,630,0.08010528122675516
72,long,617,0.07845231510620307
73,five,614,0.07807086138607566
74,perhaps,613,0.0779437101460332
75,mean,609,0.07743510518586333
76,ready,605,0.07692650022569346
77,la,603,0.07667219774560852
78,forge,598,0.07603644154539617
79,anything,589,0.07489208038501396
80,might,586,0.07451062666488655
81,thought,579,0.07362056798458927
82,away,574,0.07298481178437694
83,give,566,0.07196760186403718
84,sensor,557,0.07082324070365496
85,hour,557,0.07082324070365496
86,planet,547,0.06955172830323028
87,beam,545,0.06929742582314534
88,starfleet,543,0.0690431233430604
89,number,538,0.06840736714284806
90,log,536,0.06815306466276314
91,little,535,0.06802591342272066
92,even,533,0.06777161094263572
93,man,525,0.06675440102229598
94,shield,521,0.0662457960621261
95,human,506,0.06433852746148908
96,try,504,0.06408422498140413
97,officer,504,0.06408422498140413
98,field,504,0.06408422498140413
99,day,502,0.06382992250131919
100,maybe,501,0.06370277126127673
101,counsellor,499,0.06344846878119179
102,federation,498,0.06332131754114931
103,sorry,491,0.062431258860852046
104,able,487,0.06192265390068217
105,geordi,484,0.06154120018055476
106,point,483,0.061414048940512285
107,report,473,0.0601425365400876
108,happened,472,0.06001538530004514
109,really,472,0.06001538530004514
110,work,469,0.05963393157991774
111,enough,467,0.05937962909983279
112,another,463,0.05887102413966292
113,crusher,452,0.05747236049919577
114,leave,449,0.05709090677906836
115,minute,448,0.0569637555390259
116,ro,447,0.05683660429898343
117,feel,446,0.05670945305894096
118,better,446,0.05670945305894096
119,seven,436,0.05543794065851627
120,said,427,0.054293579498134056
121,new,422,0.05365782329792171
122,wrong,419,0.05327636957779431
123,transporter,418,0.05314921833775184
124,ensign,415,0.05276776461762443
125,wish,413,0.0525134621375395
126,klingon,412,0.052386310897497027
127,second,411,0.05225915965745456
128,kind,407,0.05175055469728468
129,order,406,0.051623403457242215
130,keep,405,0.05149625221719975
131,possible,404,0.05136910097715728
132,made,403,0.051241949737114816
133,hundred,399,0.05073334477694493
134,father,399,0.05073334477694493
135,room,396,0.05035189105681753
136,vessel,394,0.0500975885767326
137,wo,391,0.049716134856605185
138,last,389,0.04946183237652025
139,talk,387,0.04920752989643532
140,twenty,386,0.04908037865639285
141,found,384,0.04882607617630791
142,done,384,0.04882607617630791
143,team,373,0.047427412535840756
144,energy,373,0.047427412535840756
145,mother,368,0.046791656335628415
146,stop,363,0.046155900135416074
147,use,359,0.0456472951752462
148,set,355,0.04513869021507633
149,many,354,0.045011538975033856
150,friend,353,0.044884387734991385
151,matter,353,0.044884387734991385
152,put,352,0.044757236494948914
153,six,352,0.044757236494948914
154,crew,351,0.04463008525490645
155,control,351,0.04463008525490645
156,always,350,0.04450293401486398
157,trek,348,0.044248631534779044
158,everything,347,0.04412148029473657
159,someone,345,0.04386717781465164
160,command,342,0.04348572409452423
161,ever,341,0.04335857285448176
162,remember,340,0.0432314216144393
163,problem,334,0.042468514174184485
164,place,329,0.041832757973972144
165,trying,329,0.041832757973972144
166,ago,328,0.04170560673392967
167,aboard,328,0.04170560673392967
168,every,328,0.04170560673392967
169,yet,327,0.0415784554938872
170,mind,326,0.04145130425384474
171,star,324,0.0411970017737598
172,ask,324,0.0411970017737598
173,level,324,0.0411970017737598
174,question,322,0.04094269929367486
175,return,321,0.0408155480536324
176,wait,317,0.04030694309346252
177,present,310,0.03941688441316524
178,open,308,0.0391625819330803
179,stay,308,0.0391625819330803
180,part,307,0.03903543069303783
181,left,307,0.03903543069303783
182,reading,305,0.038781128212952896
183,wanted,302,0.03839967449282549
184,fine,300,0.038145372012740555
185,quite,299,0.038018220772698084
186,okay,299,0.038018220772698084
187,else,298,0.03789106953265562
188,far,296,0.03763676705257068
189,hope,292,0.03712816209240081
190,child,290,0.03687385961231587
191,wesley,286,0.03636525465214599
192,engine,282,0.03585664969197612
193,exactly,280,0.035602347211891185
194,engineering,280,0.035602347211891185
195,full,278,0.03534804473180624
196,old,276,0.035093742251721315
197,weapon,276,0.035093742251721315
198,romulan,273,0.0347122885315939
199,home,272,0.03458513729155144
200,great,272,0.03458513729155144
201,ten,272,0.03458513729155144
202,without,271,0.03445798605150897
203,call,269,0.03420368357142403
204,seems,269,0.03420368357142403
205,troi,269,0.03420368357142403
206,stand,268,0.03407653233138157
207,nine,268,0.03407653233138157
208,told,268,0.03407653233138157
209,eight,268,0.03407653233138157
210,feeling,267,0.03394938109133909
211,security,266,0.033822229851296626
212,hand,266,0.033822229851296626
213,moment,265,0.033695078611254155
214,purpose,265,0.033695078611254155
215,admiral,264,0.033567927371211684
216,die,264,0.033567927371211684
217,mission,263,0.03344077613116922
