,word,number,percent_of_count
0,captain,3931,1.0617466015195591
1,mister,2271,0.613387568570572
2,spock,2047,0.5528861087027569
3,sir,1806,0.4877930201842594
4,one,1445,0.3902884353080038
6,know,1214,0.3278963048193194
7,yes,1179,0.31844295171497333
8,doctor,1136,0.30682883218677665
9,would,1061,0.28657164696317783
10,ship,1053,0.2844108805393273
11,kirk,1031,0.2784687728737383
12,like,895,0.24173574366827913
13,right,895,0.24173574366827913
14,get,875,0.23633382760865276
15,well,861,0.23255248636691433
16,could,797,0.21526635497611002
17,time,767,0.2071634808866705
18,enterprise,749,0.20230175643300677
19,must,741,0.20014099000915625
20,planet,718,0.19392878654058593
21,want,712,0.19230821172269805
22,go,697,0.18825677467797827
23,come,686,0.1852857208451838
24,take,650,0.17556227193785634
25,see,641,0.1731314097110245
26,let,596,0.1609770985768652
27,back,592,0.15989671536493993
28,two,575,0.15530508671425755
29,jim,575,0.15530508671425755
30,life,566,0.1528742244874257
31,ca,566,0.1528742244874257
32,make,561,0.15152374547251912
33,think,554,0.14963307485164987
34,power,545,0.14720221262481803
35,thing,535,0.14450125459500485
36,way,516,0.13936943433835983
37,course,512,0.13828905112643455
38,going,509,0.1374787637174906
39,lieutenant,476,0.1285656022191071
40,may,475,0.1282955064161258
41,find,472,0.12748521900718185
42,aye,465,0.12559454838631262
43,something,451,0.12181320714457416
44,got,436,0.1177617700998544
45,good,429,0.11587109947898519
46,order,428,0.11560100367600389
47,scott,421,0.11371033305513464
48,people,420,0.11344023725215334
49,man,412,0.1112794708283028
50,mccoy,409,0.11046918341935884
51,three,405,0.10938880020743358
52,oh,400,0.108038321192527
53,nothing,396,0.10695793798060171
54,need,393,0.10614765057165777
55,scotty,369,0.09966535130010615
56,report,365,0.09858496808818089
57,say,364,0.09831487228519956
58,four,360,0.09723448907327428
59,sulu,358,0.09669429746731166
60,tell,355,0.0958840100583677
61,still,354,0.09561391425538639
62,understand,352,0.09507372264942375
63,never,348,0.09399333943749848
64,year,347,0.09372324363451717
65,first,346,0.09345314783153584
66,human,342,0.09237276461961058
67,mind,342,0.09237276461961058
68,mean,337,0.09102228560470399
69,beam,336,0.09075218980172267
70,look,335,0.09048209399874135
71,please,334,0.09021199819576003
72,control,323,0.08724094436296555
73,even,320,0.08643065695402159
74,give,314,0.08481008213613368
75,help,310,0.08372969892420841
76,much,309,0.0834596031212271
77,kill,300,0.08102874089439524
78,minute,297,0.0802184534854513
79,command,295,0.07967826187948865
80,hundred,290,0.07832778286458207
81,bridge,289,0.07805768706160075
82,bone,289,0.07805768706160075
83,anything,288,0.07778759125861943
84,long,288,0.07778759125861943
85,computer,282,0.07616701644073152
86,dead,280,0.07562682483476889
87,aboard,276,0.07454644162284361
88,ready,273,0.07373615421389967
89,believe,271,0.07319596260793704
90,vulcan,268,0.07238567519899308
91,thank,267,0.07211557939601176
92,earth,265,0.07157538779004913
93,five,263,0.0710351961840865
94,transporter,263,0.0710351961840865
95,system,259,0.06995481297216123
96,warp,253,0.06833423815427332
97,wo,252,0.068064142351292
98,men,251,0.06779404654831069
99,room,250,0.06752395074532937
100,seven,249,0.06725385494234805
101,officer,246,0.0664435675334041
102,body,244,0.06590337592744147
103,happened,243,0.06563328012446015
104,shall,242,0.06536318432147882
105,quite,242,0.06536318432147882
106,reading,239,0.06455289691253488
107,might,237,0.06401270530657224
108,die,237,0.06401270530657224
109,keep,236,0.06374260950359092
110,crew,236,0.06374260950359092
111,log,236,0.06374260950359092
112,enough,235,0.0634725137006096
113,hour,235,0.0634725137006096
114,try,235,0.0634725137006096
115,away,235,0.0634725137006096
116,vessel,235,0.0634725137006096
117,stop,232,0.06266222629166565
118,said,231,0.06239213048868433
119,another,231,0.06239213048868433
120,chekov,231,0.06239213048868433
121,point,226,0.06104165147377775
122,put,224,0.06050145986781512
123,without,222,0.059961268261852475
124,place,220,0.059421076655889846
125,little,219,0.05915098085290853
126,better,216,0.05834069344396457
127,woman,216,0.05834069344396457
128,use,215,0.05807059764098326
129,stand,215,0.05807059764098326
130,leave,213,0.05753040603502062
131,space,213,0.05753040603502062
132,gentleman,212,0.0572603102320393
133,starfleet,211,0.05699021442905799
134,death,210,0.05672011862607667
135,work,210,0.05672011862607667
136,thousand,208,0.05617992702011403
137,thought,205,0.055369639611170085
138,call,205,0.055369639611170085
139,made,205,0.055369639611170085
140,perhaps,204,0.05509954380818877
141,orbit,204,0.05509954380818877
142,contact,203,0.05482944800520744
143,done,202,0.05455935220222613
144,sure,201,0.05428925639924481
145,party,201,0.05428925639924481
146,last,198,0.05347896899030086
147,friend,198,0.05347896899030086
148,stay,197,0.05320887318731954
149,left,195,0.05266868158135691
150,answer,193,0.052128489975394265
151,feel,190,0.051318202566450324
152,copyright,190,0.051318202566450324
153,sensor,190,0.051318202566450324
154,full,187,0.05050791515750637
155,everything,186,0.05023781935452505
156,yet,186,0.05023781935452505
157,question,185,0.04996772355154373
158,ago,182,0.04915743614259978
159,kind,182,0.04915743614259978
160,wish,180,0.04861724453663714
161,present,178,0.04807705293067451
162,star,178,0.04807705293067451
163,commander,178,0.04807705293067451
164,alert,178,0.04807705293067451
165,matter,176,0.047536861324711875
166,security,176,0.047536861324711875
167,talk,174,0.04699666971874924
168,phaser,174,0.04699666971874924
169,moment,173,0.04672657391576792
170,word,172,0.0464564781127866
171,creature,171,0.04618638230980529
172,love,171,0.04618638230980529
173,seem,171,0.04618638230980529
174,destroy,170,0.04591628650682397
175,force,169,0.045646190703842654
176,gone,169,0.045646190703842654
177,weapon,168,0.045376094900861336
178,day,168,0.045376094900861336
179,hand,168,0.045376094900861336
180,phasers,168,0.045376094900861336
181,possible,166,0.0448359032948987
182,wrong,165,0.04456580749191738
183,remember,163,0.044025615885954744
184,sorry,162,0.04375552008297343
185,attack,161,0.043485424279992115
186,seems,161,0.043485424279992115
187,trek,160,0.043215328477010796
188,purpose,160,0.043215328477010796
189,ever,159,0.04294523267402948
190,deck,159,0.04294523267402948
191,engine,157,0.04240504106806684
192,every,156,0.04213494526508553
193,six,156,0.04213494526508553
194,second,156,0.04213494526508553
195,federation,156,0.04213494526508553
196,chance,155,0.041864849462104205
197,fact,154,0.04159475365912289
198,hear,153,0.041324657856141575
199,show,152,0.04105456205316026
200,since,152,0.04105456205316026
201,eight,152,0.04105456205316026
202,around,151,0.04078446625017894
203,twenty,151,0.04078446625017894
204,trying,151,0.04078446625017894
205,fire,151,0.04078446625017894
206,form,150,0.04051437044719762
207,return,149,0.0402442746442163
208,many,148,0.039974178841234984
209,almost,147,0.03970408303825367
210,uhura,147,0.03970408303825367
211,destroyed,147,0.03970408303825367
212,read,146,0.03943398723527235
213,seen,146,0.03943398723527235
214,far,146,0.03943398723527235
215,starship,145,0.039163891432291036
216,found,144,0.03889379562930972
217,stardate,144,0.03889379562930972
218,galaxy,143,0.0386236998263284
219,ahead,143,0.0386236998263284
220,live,142,0.03835360402334708
221,coming,142,0.03835360402334708
222,also,142,0.03835360402334708
223,change,140,0.037813412417384444
224,whatever,139,0.03754331661440313
225,explain,139,0.03754331661440313
226,open,139,0.03754331661440313
227,able,138,0.03727322081142181
228,condition,137,0.037003125008440496
229,child,137,0.037003125008440496
230,killed,137,0.037003125008440496
231,move,137,0.037003125008440496
232,impossible,136,0.03673302920545917
233,great,136,0.03673302920545917
234,speed,136,0.03673302920545917
235,alive,136,0.03673302920545917
236,hold,134,0.03619283759949654
237,came,134,0.03619283759949654
238,name,134,0.03619283759949654
239,check,134,0.03619283759949654
240,station,134,0.03619283759949654
241,engineering,133,0.03592274179651522
242,record,132,0.035652645993533905
243,surface,132,0.035652645993533905
244,wait,132,0.035652645993533905
245,ask,132,0.035652645993533905
246,correct,132,0.035652645993533905
247,soon,131,0.035382550190552586
248,old,131,0.035382550190552586
249,world,131,0.035382550190552586
250,signal,130,0.035112454387571275
251,alien,130,0.035112454387571275
252,mark,130,0.035112454387571275
253,new,129,0.03484235858458996
254,really,129,0.03484235858458996
255,heard,127,0.03430216697862732
256,energy,127,0.03430216697862732
257,continue,126,0.034032071175646
258,necessary,126,0.034032071175646
259,exactly,126,0.034032071175646
260,problem,124,0.03349187956968337
261,light,124,0.03349187956968337
262,clear,124,0.03349187956968337
263,medical,123,0.03322178376670205
264,war,122,0.032951687963720735
265,maybe,122,0.032951687963720735
266,told,121,0.03268159216073941
267,saw,121,0.03268159216073941
268,immediately,121,0.03268159216073941
269,whole,120,0.0324114963577581
270,always,120,0.0324114963577581
271,rest,120,0.0324114963577581
272,else,120,0.0324114963577581
273,bring,120,0.0324114963577581
274,interesting,119,0.032141400554776774
275,ten,119,0.032141400554776774
276,duty,119,0.032141400554776774
277,getting,119,0.032141400554776774
278,fight,118,0.03187130475179546
279,afraid,118,0.03187130475179546
280,klingon,117,0.031601208948814144
281,negative,116,0.031331113145832826
282,run,116,0.031331113145832826
283,area,116,0.031331113145832826
284,sickbay,116,0.031331113145832826
