,word,number,percent_of_count
0,mister,1087,0.7578451262959012
1,one,886,0.6177100109458772
2,data,797,0.5556601339998466
3,would,574,0.40018684682046674
5,well,463,0.32279879804508027
6,number,455,0.3172212810162236
7,know,447,0.31164376398736693
8,ship,434,0.3025802988154748
9,yes,417,0.2907280751291544
10,worf,415,0.28933369587194024
11,commander,393,0.2739955240425843
12,doctor,384,0.2677208173851206
13,time,376,0.26214330035626393
14,q,372,0.25935454184183554
15,want,368,0.25656578332740726
16,captain,353,0.24610793889830096
17,see,342,0.23843885298362302
18,picard,324,0.2258894396686955
19,could,314,0.21891754338262465
20,go,297,0.20706531969630418
21,right,292,0.2035793715532688
22,enterprise,288,0.20079061303884044
23,course,286,0.19939623378162624
24,way,277,0.1931215271241625
25,let,275,0.19172714786694833
26,think,275,0.19172714786694833
27,lieutenant,274,0.19102995823834124
28,take,270,0.1882411997239129
29,make,268,0.18684682046669873
30,la,260,0.18126930343784206
31,come,259,0.180572113809235
32,forge,258,0.1798749241806279
33,get,250,0.17429740715177122
34,must,244,0.1701142693801287
35,like,234,0.16314237309405785
36,good,231,0.1610508042082366
37,find,221,0.15407890792216575
38,bridge,218,0.1519873390363445
39,going,217,0.1512901494077374
40,may,214,0.14919858052191615
41,ensign,210,0.1464098220074878
42,counsellor,203,0.1415294946072382
43,back,198,0.1380435464642028
44,riker,196,0.13664916720698864
45,two,193,0.13455759832116737
46,report,189,0.13176883980673904
47,life,185,0.1289800812923107
48,need,179,0.1247969435206682
49,tell,178,0.1240997538920611
50,thank,173,0.12061380574902568
51,starfleet,172,0.11991661612041858
52,three,172,0.11991661612041858
53,perhaps,172,0.11991661612041858
54,computer,160,0.11155034057713357
55,oh,160,0.11155034057713357
56,year,159,0.11085315094852648
57,long,159,0.11085315094852648
58,officer,158,0.11015596131991941
59,crusher,157,0.10945877169131232
60,something,156,0.10876158206270523
61,admiral,149,0.10388125466245565
62,first,145,0.1010924961480273
63,help,144,0.10039530651942022
64,warp,143,0.09969811689081312
65,please,143,0.09969811689081312
66,people,140,0.09760654800499188
67,ready,138,0.09621216874777772
68,ca,137,0.09551497911917062
69,look,137,0.09551497911917062
70,room,135,0.09412059986195645
71,away,135,0.09412059986195645
72,federation,135,0.09412059986195645
73,understand,134,0.09342341023334937
74,believe,132,0.0920290309761352
75,planet,130,0.09063465171892103
76,system,129,0.08993746209031395
77,team,127,0.08854308283309978
78,screen,125,0.08714870357588561
79,beam,124,0.08645151394727851
80,trek,124,0.08645151394727851
81,much,122,0.08505713469006435
82,order,120,0.08366275543285018
83,keep,118,0.08226837617563601
84,say,118,0.08226837617563601
85,never,116,0.08087399691842184
86,give,116,0.08087399691842184
87,anything,115,0.08017680728981476
88,thing,113,0.07878242803260059
89,still,112,0.0780852384039935
90,set,112,0.0780852384039935
91,power,111,0.07738804877538642
92,might,110,0.07669085914677934
93,ro,110,0.07669085914677934
94,crew,108,0.07529647988956516
95,sure,107,0.07459929026095807
96,man,106,0.07390210063235099
97,put,106,0.07390210063235099
98,transporter,106,0.07390210063235099
99,open,105,0.0732049110037439
100,log,105,0.0732049110037439
101,happened,105,0.0732049110037439
102,possible,105,0.0732049110037439
103,four,104,0.07250772137513682
104,vessel,103,0.07181053174652974
105,mean,100,0.06971896286070849
106,leave,100,0.06971896286070849
107,done,100,0.06971896286070849
108,nothing,98,0.06832458360349432
109,aboard,97,0.06762739397488723
110,try,96,0.06693020434628015
111,ahead,96,0.06693020434628015
112,full,93,0.06483863546045888
113,five,92,0.06414144583185181
114,star,91,0.06344425620324472
115,present,90,0.06274706657463765
116,return,89,0.06204987694603055
117,even,87,0.06065549768881638
118,enough,87,0.06065549768881638
119,ambassador,87,0.06065549768881638
120,new,86,0.05995830806020929
121,mission,86,0.05995830806020929
122,hope,84,0.05856392880299512
123,hour,84,0.05856392880299512
124,question,83,0.057866739174388046
125,purpose,83,0.057866739174388046
126,made,83,0.057866739174388046
127,stay,83,0.057866739174388046
128,stop,82,0.057169549545780955
129,quite,82,0.057169549545780955
130,little,82,0.057169549545780955
131,shield,82,0.057169549545780955
132,sorry,82,0.057169549545780955
133,another,82,0.057169549545780955
134,board,82,0.057169549545780955
135,command,81,0.05647235991717388
136,matter,80,0.05577517028856679
137,site,80,0.05577517028856679
138,able,80,0.05577517028856679
139,day,80,0.05577517028856679
140,wish,78,0.05438079103135261
141,security,77,0.053683601402745536
142,thought,76,0.052986411774138445
143,use,75,0.05228922214553137
144,prepare,75,0.05228922214553137
145,engage,75,0.05228922214553137
146,stand,74,0.05159203251692428
147,really,74,0.05159203251692428
148,troi,74,0.05159203251692428
149,work,74,0.05159203251692428
150,position,73,0.0508948428883172
151,answer,73,0.0508948428883172
152,many,73,0.0508948428883172
153,control,73,0.0508948428883172
154,ago,72,0.05019765325971011
155,proceed,72,0.05019765325971011
