,word,number,percent_of_count
0,know,474,0.4881515123428183
1,want,442,0.4551961359821217
2,get,421,0.43356917024541464
3,going,384,0.3954645163283591
4,one,374,0.38516596121564145
5,right,331,0.3408821742309554
7,like,285,0.29350882071245404
8,think,280,0.2883595431560952
9,go,278,0.28629983213355165
10,time,270,0.27806098804337753
11,way,258,0.26570272190811633
12,take,254,0.2615832998630292
13,see,248,0.25540416679539857
14,major,244,0.25128474475031154
15,let,241,0.24819517821649623
16,would,238,0.2451056116826809
17,ship,232,0.23892647861505031
18,chief,228,0.23480705656996323
19,could,217,0.2234786459459738
20,station,216,0.22244879043470203
21,need,208,0.21420994634452784
22,back,207,0.21318009083325606
23,tell,201,0.20700095776562547
24,good,199,0.20494124674308192
25,dax,197,0.2028815357205384
26,well,196,0.20185168020926664
27,doctor,194,0.1997919691867231
28,sisko,183,0.18846355856273364
29,make,182,0.1874337030514619
30,mister,175,0.1802247144725595
31,say,174,0.17919485896128773
32,sure,167,0.17198587038238536
33,jake,161,0.16580673731475473
34,thing,161,0.16580673731475473
35,starfleet,161,0.16580673731475473
36,find,160,0.16477688180348296
37,something,158,0.16271717078093945
38,come,157,0.16168731526966768
39,look,154,0.15859774873585236
40,ca,153,0.1575678932245806
41,people,153,0.1575678932245806
42,two,136,0.14006034953296054
43,got,131,0.13491107197660168
44,man,130,0.1338812164653299
45,first,126,0.12976179442024283
46,bajor,125,0.12873193890897106
47,federation,124,0.12770208339769928
48,help,123,0.12667222788642754
49,long,120,0.12358266135261223
50,dominion,116,0.11946323930752516
51,never,112,0.11534381726243809
52,odo,112,0.11534381726243809
53,maybe,109,0.11225425072862279
54,better,106,0.10916468419480747
55,yes,105,0.10813482868353572
56,still,103,0.10607511766099215
57,worf,103,0.10607511766099215
58,mean,101,0.10401540663844862
59,much,99,0.10195569561590509
60,defiant,99,0.10195569561590509
61,keep,98,0.10092584010463332
62,constable,98,0.10092584010463332
63,day,97,0.09989598459336155
64,year,95,0.097836273570818
65,put,95,0.097836273570818
66,give,94,0.09680641805954625
67,life,92,0.0947467070370027
68,anything,91,0.09371685152573095
69,wo,89,0.0916571405031874
70,old,89,0.0916571405031874
71,commander,89,0.0916571405031874
72,might,86,0.0885675739693721
73,ahead,86,0.0885675739693721
74,someone,86,0.0885675739693721
75,three,83,0.0854780074355568
76,talk,83,0.0854780074355568
77,officer,82,0.08444815192428502
78,oh,82,0.08444815192428502
79,really,80,0.08238844090174148
80,report,79,0.08135858539046972
81,thought,79,0.08135858539046972
82,every,79,0.08135858539046972
83,may,79,0.08135858539046972
84,quark,78,0.08032872987919795
85,security,77,0.07929887436792618
86,understand,76,0.07826901885665441
87,little,76,0.07826901885665441
88,work,75,0.07723916334538264
89,hope,75,0.07723916334538264
90,order,74,0.07620930783411087
91,bashir,74,0.07620930783411087
92,try,74,0.07620930783411087
93,happened,74,0.07620930783411087
94,believe,74,0.07620930783411087
95,everything,73,0.0751794523228391
96,course,73,0.0751794523228391
97,said,73,0.0751794523228391
98,hear,72,0.07414959681156734
99,even,72,0.07414959681156734
100,kira,71,0.07311974130029557
101,thank,71,0.07311974130029557
102,told,70,0.0720898857890238
103,ready,69,0.07106003027775203
104,soon,69,0.07106003027775203
105,new,69,0.07106003027775203
106,nothing,68,0.07003017476648027
107,hour,68,0.07003017476648027
108,enough,66,0.06797046374393673
109,wormhole,66,0.06797046374393673
110,trek,66,0.06797046374393673
