,word,number,percent_of_count
0,captain,273,2.3421413864104323
1,doctor,58,0.49759780370624573
2,would,57,0.48901853122855177
3,one,56,0.4804392587508579
4,ship,49,0.42038435140700064
5,yes,40,0.34317089910775567
7,may,34,0.2916952642415923
8,time,32,0.27453671928620454
9,life,31,0.26595744680851063
10,believe,30,0.2573781743308167
11,planet,29,0.24879890185312287
12,could,28,0.24021962937542896
13,second,27,0.23164035689773507
14,two,27,0.23164035689773507
15,energy,27,0.23164035689773507
16,must,27,0.23164035689773507
17,sir,26,0.2230610844200412
18,point,25,0.2144818119423473
19,enterprise,23,0.1973232669869595
20,power,23,0.1973232669869595
21,star,22,0.1887439945092656
22,field,22,0.1887439945092656
23,reading,21,0.18016472203157172
24,something,20,0.17158544955387783
25,vulcan,20,0.17158544955387783
26,mister,19,0.16300617707618395
27,course,19,0.16300617707618395
28,perhaps,19,0.16300617707618395
29,thought,18,0.15442690459849004
30,thing,18,0.15442690459849004
31,sensor,18,0.15442690459849004
32,seems,17,0.14584763212079616
33,computer,17,0.14584763212079616
34,find,17,0.14584763212079616
35,know,16,0.13726835964310227
36,like,15,0.12868908716540836
37,system,15,0.12868908716540836
38,mccoy,15,0.12868908716540836
39,go,15,0.12868908716540836
40,seem,15,0.12868908716540836
41,think,15,0.12868908716540836
42,lieutenant,15,0.12868908716540836
43,vessel,15,0.12868908716540836
44,appears,15,0.12868908716540836
45,thirty,14,0.12010981468771448
46,logical,14,0.12010981468771448
47,come,14,0.12010981468771448
48,spock,14,0.12010981468771448
49,suggest,14,0.12010981468771448
50,might,14,0.12010981468771448
51,force,14,0.12010981468771448
52,contact,14,0.12010981468771448
53,stasis,14,0.12010981468771448
54,apparently,14,0.12010981468771448
55,quite,13,0.1115305422100206
56,form,13,0.1115305422100206
57,way,13,0.1115305422100206
58,say,13,0.1115305422100206
59,many,13,0.1115305422100206
60,three,12,0.10295126973232671
61,eight,12,0.10295126973232671
62,year,12,0.10295126973232671
63,alien,12,0.10295126973232671
64,able,12,0.10295126973232671
65,long,12,0.10295126973232671
66,back,12,0.10295126973232671
67,universe,12,0.10295126973232671
68,first,12,0.10295126973232671
69,indicate,12,0.10295126973232671
70,weapon,12,0.10295126973232671
71,box,12,0.10295126973232671
72,possible,11,0.0943719972546328
73,assume,11,0.0943719972546328
74,earth,11,0.0943719972546328
75,log,11,0.0943719972546328
76,known,11,0.0943719972546328
77,get,11,0.0943719972546328
78,much,11,0.0943719972546328
79,small,11,0.0943719972546328
80,become,11,0.0943719972546328
81,correct,11,0.0943719972546328
82,made,11,0.0943719972546328
83,present,11,0.0943719972546328
84,still,11,0.0943719972546328
85,appear,11,0.0943719972546328
86,another,11,0.0943719972546328
87,fascinating,11,0.0943719972546328
88,federation,11,0.0943719972546328
89,nine,10,0.08579272477693892
90,starship,10,0.08579272477693892
91,warp,10,0.08579272477693892
92,anything,10,0.08579272477693892
93,five,10,0.08579272477693892
94,without,10,0.08579272477693892
95,human,10,0.08579272477693892
96,father,10,0.08579272477693892
97,see,10,0.08579272477693892
98,trek,10,0.08579272477693892
99,copyright,10,0.08579272477693892
100,cloud,10,0.08579272477693892
101,also,10,0.08579272477693892
102,minute,10,0.08579272477693892
103,kzinti,10,0.08579272477693892
104,aboard,9,0.07721345229924502
105,kind,9,0.07721345229924502
106,crew,9,0.07721345229924502
107,use,9,0.07721345229924502
108,almost,9,0.07721345229924502
109,exactly,9,0.07721345229924502
110,mind,9,0.07721345229924502
111,take,9,0.07721345229924502
112,yet,9,0.07721345229924502
113,well,9,0.07721345229924502
114,else,9,0.07721345229924502
115,purpose,9,0.07721345229924502
116,intelligent,9,0.07721345229924502
117,nothing,8,0.06863417982155114
118,normal,8,0.06863417982155114
119,natural,8,0.06863417982155114
120,strange,8,0.06863417982155114
121,full,8,0.06863417982155114
122,control,8,0.06863417982155114
123,area,8,0.06863417982155114
124,body,8,0.06863417982155114
125,child,8,0.06863417982155114
126,good,8,0.06863417982155114
127,being,8,0.06863417982155114
128,twenty,8,0.06863417982155114
129,communicator,8,0.06863417982155114
130,chapel,8,0.06863417982155114
131,beyond,8,0.06863417982155114
132,order,8,0.06863417982155114
133,nova,8,0.06863417982155114
134,ever,7,0.06005490734385724
135,mass,7,0.06005490734385724
136,matter,7,0.06005490734385724
137,every,7,0.06005490734385724
138,seven,7,0.06005490734385724
139,need,7,0.06005490734385724
140,people,7,0.06005490734385724
141,effect,7,0.06005490734385724
142,within,7,0.06005490734385724
143,scott,7,0.06005490734385724
144,level,7,0.06005490734385724
145,mother,7,0.06005490734385724
146,young,7,0.06005490734385724
147,day,7,0.06005490734385724
148,commander,7,0.06005490734385724
149,le,7,0.06005490734385724
150,ancient,7,0.06005490734385724
151,strength,7,0.06005490734385724
152,thank,7,0.06005490734385724
153,healer,7,0.06005490734385724
154,please,7,0.06005490734385724
155,enough,7,0.06005490734385724
156,different,7,0.06005490734385724
157,living,7,0.06005490734385724
158,brain,7,0.06005490734385724
159,creature,7,0.06005490734385724
160,however,7,0.06005490734385724
161,structure,7,0.06005490734385724
162,limit,7,0.06005490734385724
163,medical,7,0.06005490734385724
164,specie,7,0.06005490734385724
165,beta,7,0.06005490734385724
166,speed,7,0.06005490734385724
167,plague,7,0.06005490734385724
168,magnetic,6,0.051475634866163356
169,probability,6,0.051475634866163356
170,far,6,0.051475634866163356
171,possibility,6,0.051475634866163356
172,found,6,0.051475634866163356
173,data,6,0.051475634866163356
174,report,6,0.051475634866163356
175,six,6,0.051475634866163356
176,high,6,0.051475634866163356
177,centre,6,0.051475634866163356
178,question,6,0.051475634866163356
179,age,6,0.051475634866163356
180,cousin,6,0.051475634866163356
181,never,6,0.051475634866163356
182,saw,6,0.051475634866163356
183,old,6,0.051475634866163356
184,work,6,0.051475634866163356
185,away,6,0.051475634866163356
186,duty,6,0.051475634866163356
187,change,6,0.051475634866163356
188,consume,6,0.051475634866163356
189,galaxy,6,0.051475634866163356
190,hand,6,0.051475634866163356
191,impossible,6,0.051475634866163356
192,moment,6,0.051475634866163356
193,sure,6,0.051475634866163356
194,listen,6,0.051475634866163356
195,escape,6,0.051475634866163356
196,incredible,6,0.051475634866163356
197,party,6,0.051475634866163356
198,uhura,6,0.051475634866163356
199,miss,6,0.051475634866163356
200,christine,6,0.051475634866163356
201,klingon,6,0.051475634866163356
202,battle,6,0.051475634866163356
203,safe,6,0.051475634866163356
204,space,6,0.051475634866163356
205,winston,6,0.051475634866163356
206,general,6,0.051475634866163356
207,race,6,0.051475634866163356
208,mean,6,0.051475634866163356
209,give,6,0.051475634866163356
210,even,6,0.051475634866163356
211,condition,6,0.051475634866163356
212,slaver,6,0.051475634866163356
213,setting,6,0.051475634866163356
214,beam,6,0.051475634866163356
215,negative,5,0.04289636238846946
216,analysis,5,0.04289636238846946
217,dead,5,0.04289636238846946
218,flux,5,0.04289636238846946
219,metal,5,0.04289636238846946
220,unknown,5,0.04289636238846946
221,little,5,0.04289636238846946
222,gravity,5,0.04289636238846946
223,equipment,5,0.04289636238846946
224,key,5,0.04289636238846946
225,capable,5,0.04289636238846946
226,man,5,0.04289636238846946
227,wish,5,0.04289636238846946
228,ask,5,0.04289636238846946
229,sarek,5,0.04289636238846946
230,family,5,0.04289636238846946
231,son,5,0.04289636238846946
232,test,5,0.04289636238846946
233,saved,5,0.04289636238846946
234,desert,5,0.04289636238846946
235,recall,5,0.04289636238846946
236,others,5,0.04289636238846946
237,ordeal,5,0.04289636238846946
238,soon,5,0.04289636238846946
239,personal,5,0.04289636238846946
240,logic,5,0.04289636238846946
241,alone,5,0.04289636238846946
242,move,5,0.04289636238846946
243,woman,5,0.04289636238846946
244,afraid,5,0.04289636238846946
245,understand,5,0.04289636238846946
246,fight,5,0.04289636238846946
247,danger,5,0.04289636238846946
248,help,5,0.04289636238846946
249,try,5,0.04289636238846946
250,shall,5,0.04289636238846946
251,episode,5,0.04289636238846946
252,listingstar,5,0.04289636238846946
253,related,5,0.04289636238846946
254,mark,5,0.04289636238846946
255,trademark,5,0.04289636238846946
256,studio,5,0.04289636238846946
257,inc,5,0.04289636238846946
258,web,5,0.04289636238846946
259,page,5,0.04289636238846946
260,site,5,0.04289636238846946
261,educational,5,0.04289636238846946
262,entertainment,5,0.04289636238846946
263,property,5,0.04289636238846946
264,respective,5,0.04289636238846946
265,holder,5,0.04289636238846946
266,ability,5,0.04289636238846946
267,object,5,0.04289636238846946
268,highly,5,0.04289636238846946
269,since,5,0.04289636238846946
270,action,5,0.04289636238846946
271,came,5,0.04289636238846946
272,going,5,0.04289636238846946
273,return,5,0.04289636238846946
274,probe,5,0.04289636238846946
275,distance,5,0.04289636238846946
276,function,5,0.04289636238846946
277,ten,5,0.04289636238846946
278,longer,5,0.04289636238846946
279,ca,5,0.04289636238846946
280,reason,5,0.04289636238846946
281,picking,5,0.04289636238846946
282,record,5,0.04289636238846946
283,shield,5,0.04289636238846946
