,word,number,percent_of_count
0,captain,3519,0.43344377794474487
1,one,2967,0.36545259709066724
2,know,2632,0.32418983334770346
4,get,2381,0.2932735536477515
5,like,2137,0.2632194809513838
6,would,2121,0.2612487220860482
7,ship,2057,0.25336568662470593
8,time,1914,0.23575202926576916
9,could,1907,0.23488982226218483
10,going,1821,0.2242969933610061
11,think,1787,0.22010913077216793
12,well,1734,0.21358099203074385
13,right,1716,0.21136388830724132
14,want,1566,0.1928880239447202
15,go,1510,0.18599036791604567
16,way,1469,0.18094029832362324
17,see,1468,0.18081712589453977
18,back,1453,0.17896953945828767
19,let,1397,0.1720718834296131
20,take,1394,0.17170236614236267
21,ca,1364,0.16800719326985847
22,doctor,1357,0.16714498626627416
23,voyager,1334,0.16431202039735426
24,two,1313,0.1617253993866013
25,yes,1243,0.15310332935075813
26,need,1229,0.1513789153435895
27,got,1141,0.1405397415842438
28,mister,1139,0.14029339672607682
29,make,1114,0.13721408599899
30,help,1112,0.13696774114082302
31,look,1108,0.13647505142448912
32,come,1105,0.13610553413723872
33,seven,1089,0.13413477527190312
34,tell,1084,0.13351891312648576
35,tuvok,1063,0.13093229211573282
36,oh,1058,0.13031642997031545
37,good,1048,0.12908470567948072
38,find,992,0.12218704965080615
39,maybe,976,0.12021629078547058
40,people,960,0.11824553192013501
41,something,932,0.11479670390579773
42,say,925,0.11393449690221341
43,may,889,0.10950028945520836
44,course,887,0.10925394459704141
45,crew,879,0.10826856516437361
46,try,858,0.10568194415362066
47,still,835,0.10284897828470076
48,might,828,0.10198677128111643
49,three,826,0.10174042642294948
50,life,825,0.10161725399386601
51,never,821,0.10112456427753212
52,first,821,0.10112456427753212
53,year,821,0.10112456427753212
54,must,821,0.10112456427753212
55,day,813,0.10013918484486432
56,neelix,803,0.09890746055402957
57,system,795,0.0979220811213618
58,commander,778,0.09582814982694274
59,janeway,774,0.09533546011060884
60,thought,765,0.09422690824885757
61,chakotay,755,0.09299518395802284
62,borg,749,0.09225614938352199
63,long,744,0.09164028723810463
64,little,739,0.09102442509268725
65,thing,726,0.08942318351460209
66,lieutenant,721,0.08880732136918472
67,away,717,0.08831463165285083
68,shield,706,0.08695973493293262
69,sure,700,0.08622070035843177
70,computer,699,0.08609752792934829
71,give,690,0.08498897606759703
72,believe,682,0.08400359663492923
73,power,676,0.08326456206042838
74,wo,671,0.08264869991501103
75,bridge,663,0.08166332048234323
76,trying,657,0.0809242859078424
77,please,656,0.08080111347875892
78,warp,653,0.0804315961915085
79,vessel,638,0.07858400975525638
80,paris,634,0.0780913200389225
81,work,632,0.07784497518075555
82,another,628,0.07735228546442165
83,mean,626,0.0771059406062547
84,harry,620,0.07636690603175385
85,much,617,0.07599738874450343
86,keep,612,0.07538152659908606
87,sorry,604,0.07439614716641826
88,nothing,585,0.07205587101383226
89,weapon,579,0.07131683643933141
90,hour,575,0.07082414672299753
91,anything,571,0.07033145700666363
92,nine,569,0.07008511214849668
93,tom,564,0.06946925000307931
94,even,560,0.06897656028674541
95,home,549,0.06762166356682721
96,enough,547,0.06737531870866026
97,kind,538,0.06626676684690899
98,understand,535,0.06589724955965856
99,sensor,530,0.0652813874142412
100,mind,528,0.06503504255607426
101,better,527,0.06491187012699078
102,programme,525,0.06466552526882383
103,five,520,0.06404966312340646
